,FINESS,Raison sociale,Commune,Statut Juridique,Région
142,750100083,750100083 - GHU APHP SUN SITE ROTHSCHILD,PARIS,CHRU,11 - Ile-de-France
143,750100091,750100091 - GHU APHP SUN SITE ST ANTOINE,PARIS,CHRU,11 - Ile-de-France
144,750100109,750100109 - GHU APHP SUN SITE TROUSSEAU,PARIS,CHRU,11 - Ile-de-France
145,750100125,750100125 - GHU APHP SUN SITE PITIE SALPETRIERE,PARIS,CHRU,11 - Ile-de-France
146,750100166,750100166 - GHU APHP CUP SITE COCHIN PORT ROYAL,PARIS,CHRU,11 - Ile-de-France
147,750100208,750100208 - GHU CUP SITE NECKER ENFANTS MALADES,PARIS,CHRU,11 - Ile-de-France
148,750100216,750100216 - GHU APHP CUP SITE VAUGIRARD,PARIS,CHRU,11 - Ile-de-France
149,750100232,750100232 - GHU APHP NUP SITE BICHAT C BERNARD,PARIS,CHRU,11 - Ile-de-France
150,750100273,750100273 - GHU APHP SUN SITE TENON,PARIS,CHRU,11 - Ile-de-France
151,750100299,750100299 - GHU APHP UPS SITE SAINTE PERINE,PARIS,CHRU,11 - Ile-de-France
152,750801441,750801441 - GHU APHP CUP SITE BROCA,PARIS,CHRU,11 - Ile-de-France
153,750803447,750803447 - GHU APHP CUP SITE G POMPIDOU HEGP,PARIS,CHRU,11 - Ile-de-France
154,750803454,750803454 - GHU APHP NUP SITE ROBERT DEBRE,PARIS,CHRU,11 - Ile-de-France
155,750806226,750806226 - HOSPITALISATION A DOMICILE APHP PARIS,PARIS,CHRU,11 - Ile-de-France
156,760000141,760000141 - HOPITAL SAINT JULIEN CHU ROUEN,LE PETIT QUEVILLY,CHRU,28 - Normandie
157,760000158,760000158 - HOPITAL CHARLES NICOLLE CHU ROUEN,ROUEN,CHRU,28 - Normandie
158,760783522,760783522 - HOPITAL DE BOIS-GUILLAUME CHU ROUEN,BOIS GUILLAUME,CHRU,28 - Normandie
159,760783530,760783530 - HOPITAL DE OISSEL CHU ROUEN,OISSEL,CHRU,28 - Normandie
160,800000614,800000614 - CHU AMIENS SAINT VICTOR,AMIENS,CHRU,32 - Hauts-de-France
161,800006124,800006124 - CHU AMIENS SUD,AMIENS,CHRU,32 - Hauts-de-France
162,800016735,800016735 - SSR CHU AMIENS,AMIENS,CHRU,32 - Hauts-de-France
163,800017253,800017253 - CHU AMIENS IOP,AMIENS,CHRU,32 - Hauts-de-France
164,830100012,830100012 - APHP HOPITAL SAN SALVADOUR,HYERES,CHRU,93 - Provence-Alpes-Côte d'Azur
165,830100558,830100558 - HOPITAL RENEE SABRAN HYERES,HYERES,CHRU,93 - Provence-Alpes-Côte d'Azur
166,860000025,860000025 - CHU DE POITIERS - SITE CHATELLERAULT,CHATELLERAULT,CHRU,75 - Nouvelle-Aquitaine
167,860000033,860000033 - CHU DE POITIERS - SITE DE LOUDUN,LOUDUN,CHRU,75 - Nouvelle-Aquitaine
168,860000058,860000058 - CHU DE POITIERS - SITE DE MONTMORILLON,MONTMORILLON,CHRU,75 - Nouvelle-Aquitaine
169,860000223,860000223 - CHU LA MILETRIE,POITIERS,CHRU,75 - Nouvelle-Aquitaine
170,860011014,860011014 - CHU DE POITIERS - SITE DE LUSIGNAN,LUSIGNAN,CHRU,75 - Nouvelle-Aquitaine
171,870000064,870000064 - C H U DUPUYTREN LIMOGES,LIMOGES,CHRU,75 - Nouvelle-Aquitaine
172,870003514,870003514 - HOPITAL JEAN REBEYROL LIMOGES,LIMOGES,CHRU,75 - Nouvelle-Aquitaine
173,870010998,870010998 - CHU LIMOGES - ANTENNE SMUR ST YRIEIX,SAINT YRIEIX LA PERCHE,CHRU,75 - Nouvelle-Aquitaine
174,870014859,870014859 - HOPITAL DE LA MERE ET DE L'ENFANT,LIMOGES,CHRU,75 - Nouvelle-Aquitaine
175,870017647,870017647 - CHU LIMOGES - ANTENNE SMUR ST JUNIEN,SAINT JUNIEN,CHRU,75 - Nouvelle-Aquitaine
176,910100015,910100015 - HU HENRI MONDOR SITE CLEMENCEAU APHP,CHAMPCUEIL,CHRU,11 - Ile-de-France
177,910100031,910100031 - GHU APHP HM SITE DUPUYTREN,DRAVEIL,CHRU,11 - Ile-de-France
178,920100013,920100013 - GHU APHP UPS SITE AMBROISE PARE,BOULOGNE BILLANCOURT,CHRU,11 - Ile-de-France
179,920100021,920100021 - GHU APHP UPS SITE ANTOINE BECLERE,CLAMART,CHRU,11 - Ile-de-France
180,920100039,920100039 - GHU APHP NUP SITE BEAUJON,CLICHY,CHRU,11 - Ile-de-France
181,920100047,920100047 - GHU APHP NUP SITE LOUIS MOURIER,COLOMBES,CHRU,11 - Ile-de-France
182,920100054,920100054 - GHU APHP UPS SITE RAYMOND POINCARE,GARCHES,CHRU,11 - Ile-de-France
183,920100062,920100062 - GHU APHP CUP SITE CELTON,ISSY LES MOULINEAUX,CHRU,11 - Ile-de-France
184,930100011,930100011 - GHU APHP HU PSSD SITE MURET,SEVRAN,CHRU,11 - Ile-de-France
185,930100037,930100037 - GHU APHP HU PSSD SITE AVICENNE,BOBIGNY,CHRU,11 - Ile-de-France
186,930100045,930100045 - GHU APHP HU PSSD SITE JEAN VERDIER,BONDY,CHRU,11 - Ile-de-France
187,940100027,940100027 - GHU APHP HM SITE HENRI MONDOR,CRETEIL,CHRU,11 - Ile-de-France
188,940100035,940100035 - GHU APHP SUN SITE CHARLES FOIX,IVRY SUR SEINE,CHRU,11 - Ile-de-France
189,940100043,940100043 - GHU APHP UPS SITE KREMLIN BICETRE APHP,LE KREMLIN BICETRE,CHRU,11 - Ile-de-France
190,940100050,940100050 - GHU APHP HM SITE E ROUX,LIMEIL BREVANNES,CHRU,11 - Ile-de-France
191,940100068,940100068 - GHU APHP UPS SITE PAUL BROUSSE,VILLEJUIF,CHRU,11 - Ile-de-France
192,970100442,970100442 - C.H.U. DE POINTE-A-PITRE/ABYMES,LES ABYMES,CHRU,01 - Guadeloupe
193,970112587,970112587 - CHU - ANTENNE DE MARIE-GALANTE SMUR,GRAND BOURG,CHRU,01 - Guadeloupe
194,970211215,970211215 - CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN,FORT DE FRANCE,CHRU,02 - Martinique
195,970211223,970211223 - CHU DE MARTINIQUE SITE DE TRINITE,LA TRINITE,CHRU,02 - Martinique
196,970211231,970211231 - CHU DE MARTINIQUE SITE MANGOT VULCIN,LE LAMENTIN,CHRU,02 - Martinique
197,970211249,970211249 - CHU DE MARTINIQUE SITE DE CLARAC,FORT DE FRANCE,CHRU,02 - Martinique
198,970211256,970211256 - CHU DE MARTINIQUE SITE MERE ENFANT,FORT DE FRANCE,CHRU,02 - Martinique
199,970213286,970213286 - CPP MARIN,LE MARIN,CHRU,02 - Martinique
200,970400024,970400024 - CHU SITE FELIX GUYON (SAINT DENIS),SAINT DENIS,CHRU,04 - Réunion
201,970400057,970400057 - CHU SITE SUD (SAINT PIERRE),SAINT PIERRE,CHRU,04 - Réunion
202,970400081,970400081 - CHU SITE SUD (SAINT LOUIS),SAINT LOUIS,CHRU,04 - Réunion
203,970400099,970400099 - CHU SITE SUD (CILAOS),CILAOS,CHRU,04 - Réunion
204,970400180,970400180 - CHU SITE SUD (SAINT JOSEPH),SAINT JOSEPH,CHRU,04 - Réunion
205,970463139,970463139 - CHU SITE SUD - SSR (TAMPON),LE TAMPON,CHRU,04 - Réunion
