finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4_v2,CI_E5,CI_E6,CI_E7_v2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_F18_D,CI_F18_O,CI_F19_D,CI_F19_O,CI_F20_D,CI_F20_O,CI_F21_D,CI_F21_O,CI_F22_D,CI_F22_O,CI_F23_D,CI_F23_O,CI_F24_D,CI_F24_O,CI_F25_D,CI_F25_O,CI_F26_D,CI_F26_O,CI_F27_D,CI_F27_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P12_bis,P13,P14,P15,P16,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10
010780203,HÔPITAL PRIVÉ D'AMBERIEU,OQN,TAA,CLI,T3,M2,C3,O2,"         4,7","        0,23","        4,36",,,"        54,7","       139,2","        62,7","        56,4",          26,,           6,           0,           2,          30,          28,          15,,        4071,        2004,         845,        4583,        4608,          65,          26,           0,           0,         307,         729,        5424,,        2584,          93,,,,,           4,           1,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 9,Cataracte : 968,Arthroscopie du genou : 103,Hernie enfant : 1,RTU prostate : 31,Hernie adulte y compris coelioscopie : 232,Cataractes : 971,actes ORL et stomato divers : 817,"Chirurgies main, poignet : 471",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 370,Intervention  peau et tissu sous-cutané : 284,Endoscopies digestives avec ou sans anesthésie : 1079,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 713,affections médicales du nouveau né : 701,Infections respiratoires : 499,Cardiologie autres : 439,"       44,98","       20,49","        12,5","        5,27",           5,"      212,05","       35,59","      162,26","        0,95","        4,64","        8,61","        0,98","       0,835","       0,918",,,,,,      481218,"       24,14","       71,61","       69,55","        71,4","        87,4",          75,,,          43,"    101219,9","    111315,5","        17,1",,"         2,4",,                                      .z,                                      .z,                                      .z
010780294,NEPHROCARE CH BELLEY,OQN,TAA,CLI,T0,,,,,,,,,,,,,,,,,,,,,,           0,           0,           0,           0,           0,           0,           0,           0,        9731,         213,           0,           0,,           0,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,,,,,,,,,,,"         1,9",           1,,,,"       17,79","        1,07","       16,32",,"         0,2","         0,2",,,,,,,,,                                      .c,,,,,,,,,,,,"        15,3",,,,                                      .z,                                      .z,                                      .z
020000022,CH DE GUISE,DGF,HP,CH,T1,M1,C1,,"        13,9","        1,07","       51,61",,,           0,"        67,3",,,          28,,,,           0,           0,           0,           0,           0,         615,          29,           0,         162,          33,           0,           0,           0,           0,          14,           0,           0,,          19,          41,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 21,Trauma crâniens : 14,Intervention  peau et tissu sous-cutané : 14,"Occlusions, sub-occlusions digestives : 7",Pathologies ORL et Stomato autres : 4,Infections respiratoires : 130,"Cardiopathies, valvulopathies : 50",Signes et symptômes : 48,"Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 33",Toxicomanies et alcoolisme : 30,"         6,7","         4,4",,,,"      218,25","       20,63","      168,08","        1,47","        5,57","        22,5","       0,974","       0,985",,,,,,,                                      .c,,,"       53,23",,,                                      .c,"         6,1",,,,,"        28,1",,,,"         8,1","         5,8",
020000048,CH GERONTOLOGIQUE,DGF,HP,CH,T1,M1,C1,,"        22,4","        0,45","       45,93",,,           0,"        72,5",,,          38,,,,,,,,,         639,          18,           0,           7,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          16,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 7,"Occlusions, sub-occlusions digestives : 4","Chirurgie Fractures, entorses, luxations, tractions : 3",Trauma crâniens : 2,Intervention  peau et tissu sous-cutané : 2,Troubles mentaux d'origine organique et retards mentaux : 169,Soins palliatifs : 158,Infections respiratoires : 39,"Névroses, psychoses et autres troubles mentaux : 38","Infections reins et voies urinaires, lithiases : 29","        7,92","        5,49",,,,"      127,33","       19,71","       88,04",           2,"        1,86","       15,72","       1,206","       1,306",,,,,,,                                      .c,,,           0,,,                                      .c,"         3,9",,,,,"        32,9",,,,,,
020000055,CH NOUVION EN THIERACHE,DGF,HP,CH,T1,M1,C0,,"        12,7","        0,72","       56,88",,,"         0,4",          51,,,          15,,,,,,,,,         261,           8,           0,           7,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          29,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 5,"Occlusions, sub-occlusions digestives : 2",Intervention  peau et tissu sous-cutané : 1,,,Infections respiratoires : 36,Signes et symptômes : 28,Soins palliatifs : 26,"Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 22",Troubles mentaux d'origine organique et retards mentaux : 19,"        2,05","        1,93",,,,"       59,11",           9,"       33,44","         0,1",,"       16,57","       0,901","       0,827",,,,,,,                                      .c,,,           0,,,                                      .c,"         0,4",,,,,"        44,5",,,,,,
020000063,CH DE SAINT QUENTIN,DGF,TAA,CH,T3,M4,C3,O4,          11,"        1,27","       11,23","        0,11","        0,17","        50,3","        75,6","        75,8","        70,5",         278,          18,           6,          10,          21,          86,          25,          28,           1,       17424,        4860,        1832,        6300,        6042,         530,        9629,       16927,       16297,        5404,        1564,        9715,,        4612,         132,           2,           1,,           2,          12,           2,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 112,Cataracte : 1077,Arthroscopie du genou : 66,Hernie enfant : 1,RTU prostate : 87,Hernie adulte y compris coelioscopie : 160,"Chirurgies main, poignet : 1862",Cataractes : 1078,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 699,"Arthroscopies, Biopsies ostéo-articulaires : 538",actes ORL et stomato divers : 505,affections médicales du nouveau né : 1658,Cathéthérismes diagnostiques vasculaires et coronariens : 1435,Endoscopies digestives avec ou sans anesthésie : 1197,Infections respiratoires : 1154,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 918,"      202,03","       128,3","       25,37","        8,57","        9,66","     1967,65","      247,66","     1310,56","       13,16","      114,63","      281,64","       0,957","       1,034","       0,923",,,,,,      302020,"       18,67","       10,46","       55,39","       60,18","       91,04","       109,9","         9,1",,          40,"     28653,2","    103405,1","        27,3","         3,1","         3,1",,"         9,6","         7,3",
020000071,CH DE VERVINS,DGF,HP,CH,T1,M1,C0,,"        19,4","        0,77",          50,,,           0,"        59,7",,,          26,,,,,,,,,         363,          20,           0,           9,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          23,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 16,Trauma crâniens : 3,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 1,,,Soins palliatifs : 81,Signes et symptômes : 49,Infections respiratoires : 31,Troubles mentaux d'origine organique et retards mentaux : 25,"Névroses, psychoses et autres troubles mentaux : 25","         2,1","         2,1",,,,"       87,69","        7,65","       61,99","        0,91",,"       17,14","       1,262","       1,226",,,,,,,                                      .c,,,           0,,,                                      .c,"         1,2",,,,,"        25,3",,,,,,
020000253,CH DE LAON,DGF,TAA,CH,T3,M2,C2,O2,"         5,8","         0,5","       14,33","        0,02",,"        69,5",          78,"        95,2","        64,9",         131,           6,           4,           8,          14,          34,          11,          18,           0,        6065,        2518,        1044,        3892,        2107,         326,         651,           0,        6343,        1358,         795,        3900,,        1735,         114,           1,,,,           4,           2,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 1,Cataracte : 362,Arthroscopie du genou : 74,Hernie enfant : 3,RTU prostate : 100,Hernie adulte y compris coelioscopie : 117,"Chirurgies transurétrales, autres : 556",Cataractes : 362,Intervention  peau et tissu sous-cutané : 249,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 227,Chirurgies appareil génital masculin : 221,Infections respiratoires : 882,affections médicales du nouveau né : 803,"Infections reins et voies urinaires, lithiases : 461",Symptômes digestifs : 430,Autres gastroentérites et maladies diverses du tube digestif : 429,"       99,58","       62,04","       14,94","         7,5","        5,64","      902,28","      130,52","      613,73","        6,76","       39,42","      111,85","       1,016",           1,"       1,054",,,,,,      239326,"       22,77","       36,48","       45,56","       47,97","       84,99","        87,1","        21,1",,          30,"     13501,1",       48479,"        28,2","         1,3","         3,7",,           7,"         8,4",
020000261,CH DE SOISSONS,DGF,TAA,CH,T3,M3,C2,O3,"        10,7","        0,78","       13,03","        0,16",,"        63,1","        83,5",          86,"        64,9",         198,          10,           4,           8,          10,          38,          15,          21,,       11059,        2042,        1212,        3042,        1524,         392,        3462,        5962,        9934,        1632,         953,        3150,,        1847,         115,           3,           2,,,           5,           2,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 95,Cataracte : 117,Arthroscopie du genou : 56,Hernie enfant : 0,RTU prostate : 30,Hernie adulte y compris coelioscopie : 119,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 305,"Chirurgies main, poignet : 263",Chirurgies utérus / annexes : 195,Hernies : 142,Stimulateurs / défibrillateurs cardiaques : 137,Signes et symptômes : 1100,affections médicales du nouveau né : 981,Infections respiratoires : 783,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 511,Explorations nocturnes et apparentées : 485,"      143,17","       93,65","       20,56","        9,22","        8,35","     1168,29","      130,75","      807,65","        4,26","       51,31","      174,32","       0,964","        1,15","       0,996",,,,,,      203808,"       17,63","       82,17","       42,74","       49,48","       73,32","        46,2","         7,8",,          34,"     13244,6","     36886,6","        44,1","         1,1","         2,3",,"         8,7",          29,
020000287,CH DE CHAUNY,DGF,TAA,CH,T2,M2,C1,O2,"        12,5","        0,45","       13,78",,,"        52,9","        49,9","        97,8",          32,         132,           6,           3,,           2,           5,          21,          18,,        4637,         389,         633,        1112,         948,         296,        1547,           0,           0,         299,         522,        1287,,        1260,          69,           1,,,,           3,           1,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 1,Cataracte : 116,Arthroscopie du genou : 32,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 53,chirurgie tumeurs malignes de la peau : 212,Intervention  peau et tissu sous-cutané : 161,Cataractes : 116,Traumatismes du bassin et des membres : 80,Chirurgies utérus / annexes : 80,Infections respiratoires : 617,affections médicales du nouveau né : 503,Endoscopies digestives avec ou sans anesthésie : 393,Cardiologie autres : 276,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 251,"        46,3","       34,63","         3,1","        1,53","        4,42","      577,44","        97,8","      368,97","        1,83","       26,22","       82,62","       0,943","       0,942","       0,816",,,,,,      100082,"       22,03","       67,32","       70,91","        84,4","       86,58","        20,5","         5,9",,          32,"     16074,5","     71393,5","        26,8","         2,2","         2,6",,"        10,1","         4,8",
